单元,序号,英文,中文
U1,1,active service,现役
U1,2,air defense,防空
U1,3,Air Force,空军
U1,4,aircraft carrier,航空母舰
U1,5,airlift,空运
U1,6,airman,空军士兵，飞行员
U1,7,amphibious,两栖作战的；水陆两用的；两栖的
U1,8,arm,兵种；武器；武装
U1,9,armor,装甲；装甲兵；装甲部队
U1,10,Army,陆军（首字母常用大写）；军队；集团军
U1,11,Army National Guard,(美)陆军国民警卫队
U1,12,Army Reserve,(美)陆军预备役
U1,13,arsenal,武器库；军火库；兵工厂
U1,14,artillery,炮兵；火炮
U1,15,aviation,航空兵
U1,16,bomber,轰炸机
U1,17,cavalry,骑兵；高度机动的地面部队
U1,18,Coast Guard,海岸警卫队
U1,19,combat arms,作战部队
U1,20,combat arms support,作战支援部队
U1,21,combat service support,作战支援保障部队
U1,22,corps,军；军团；特殊兵种；部队
U1,23,Department of War,（美）战争部
U1,24,drone,无人机
U1,25,engineer,工兵
U1,26,fleet,舰队；（飞机的）机队
U1,27,guardian,（美）太空军士兵
U1,28,helicopter,直升机
U1,29,intelligence,情报
U1,30,joint force,联合部队
U1,31,joint operations,联合作战
U1,32,logistics,后勤；后勤学
U1,33,marine,海军陆战队员；海上的；海事的
U1,34,Marine Corps,海军陆战队
U1,35,Navy,海军
U1,36,ordnance,军械
U1,37,propulsion,推进
U1,38,quartermaster,军需
U1,39,reconnaissance,侦察（正式）
U1,40,sailor,海军士兵，水兵
U1,41,sensor,传感器
U1,42,service,军种；服役
U1,43,signal,通信兵
U1,44,Space Command,（美）太空司令部
U1,45,Space Force,(美)太空军
U1,46,special forces,特种部队
U1,47,squadron,中队
U1,48,stealth,隐形
U1,49,submarine,潜艇
U1,50,surveillance,监视
U2,1,address,称呼
U2,2,admiral,（海军）上将
U2,3,brigadier general,（陆、空、海军陆战队）准将
U2,4,captain,（陆、空、海军陆战队）上尉；（海军）上校
U2,5,colonel,（陆、空、海军陆战队）上校
U2,6,command sergeant major,（美陆军）一级军士长（指挥）
U2,7,commander,（海军）中校
U2,8,Commissioned Officer,军官
U2,9,corporal,下士
U2,10,enlisted,士兵
U2,11,ensign,（海军）少尉
U2,12,etiquette,礼节
U2,13,first sergeant,（美陆军）二级军士长（指挥）
U2,14,general,（陆、空、海军陆战队）上将
U2,15,lieutenant,（陆、空、海军陆战队）中尉；（海军）上尉
U2,16,lieutenant colonel,（陆、空、海军陆战队）中校
U2,17,lieutenant commander,(海军)少校
U2,18,lieutenant general,（陆、海、海军陆战队）中将
U2,19,lieutenant junior grade,(海军)中尉
U2,20,major,（陆、空、海军陆战队）少校
U2,21,major general,（陆、海、海军陆战队）少将
U2,22,master sergeant,（美陆军）二级军士长（机关）
U2,23,Non-Commissioned Officer,士官
U2,24,private,列兵
U2,25,private first class,上等兵
U2,26,promote,晋升
U2,27,rear admiral lower half,（海军）准将
U2,28,rear admiral upper half,(海军)少将
U2,29,salute,敬礼
U2,30,second lieutenant,（陆、空、海军陆战队）少尉
U2,31,sergeant,军士；（美陆军、海军陆战队）中士
U2,32,sergeant first class,(美陆军)三级军士长
U2,33,sergeant major,(美)陆军一级军士长（机关）
U2,34,sergeant major of the army,（美陆军）总军士长
U2,35,serve,服役
U2,36,specialist,专业兵；专业军士
U2,37,staff sergeant,（美陆军、海军陆战队）上士；（美空军）中士
U2,38,subordinate,下级；下属
U2,39,superior,上级；长官
U2,40,vice admiral,（海军）中将
U2,41,warrant officer,文职人员
U3,1,allowance,津贴
U3,2,authorize,授权，批准
U3,3,breastplate,胸甲
U3,4,camaraderie,友情；情谊
U3,5,camouflage,迷彩
U3,6,chain mail,锁子甲
U3,7,chevron,V形线条
U3,8,combat uniform,作训服
U3,9,dress uniform,礼服
U3,10,helmet,头盔
U3,11,insignia,勋章；佩章；徽章；标记；识别符号
U3,12,khaki,卡其色；卡其布
U3,13,lapel,翻领
U3,14,long-sleeve,长袖
U3,15,marksman,射击能手；神枪手
U3,16,marksmanship,枪法；射击术
U3,17,medal ribbon,勋章授带
U3,18,morale,士气；民心；斗志
U3,19,name plate,姓名牌
U3,20,nylon,尼龙
U3,21,pants,裤子
U3,22,petty officer,海军士官；海军军士
U3,23,physical training uniform,体能服
U3,24,pleat,褶皱，裤褶
U3,25,polyester,聚酯纤维，涤纶
U3,26,service cap,军帽；大檐帽
U3,27,short-sleeve,短袖
U3,28,shoulder badge,肩章
U3,29,stripe,条纹
U4,1,battalion,营
U4,2,brigade,旅
U4,3,chain of command,指挥系统；指挥关系；指挥链
U4,4,chief of staff(COS),参谋长
U4,5,division,师
U4,6,flight,（飞行）小队；机群
U4,7,flotilla,（小）舰队；（小）船队；纵队
U4,8,group,大队
U4,9,Joint Chiefs of Staff,参谋长联席会议
U4,10,marine expeditionary brigade,美国海军陆战队远征旅
U4,11,pentagon,（美）国防部
U4,12,platoon,排
U4,13,regiment,团
U4,14,squad,班
U4,15,staff,参谋人员；参谋机构；参谋部
U4,16,Task Element,特混支队
